Title,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier
101 CCW Observed Runtime-90%,11.96,13.21,12.53,12.13,12.38,12.15,11.37,13.53,13.39,14.99,12.92,12.99,14.02,13.7,12.66,13.1,14.25,15.15,14.32,13.8,12.09,12.82,12.36,12.45,13.12,13.4,12.36,11.76,12.11,11.17
101 CCW Scheduled Runtime-10%,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11
101 CCW Scheduled Runtime-50%,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11
101 CCW Scheduled Runtime-90%,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11
Title,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall,Georgian Mall to Bayfield Mall
Half-Hour,07:00 - 07:29,07:30 - 07:59,08:00 - 08:29,08:30 - 08:59,09:00 - 09:29,09:30 - 09:59,10:00 - 10:29,10:30 - 10:59,11:00 - 11:29,11:30 - 11:59,12:00 - 12:29,12:30 - 12:59,13:00 - 13:29,13:30 - 13:59,14:00 - 14:29,14:30 - 14:59,15:00 - 15:29,15:30 - 15:59,16:00 - 16:29,16:30 - 16:59,17:00 - 17:29,17:30 - 17:59,18:00 - 18:29,18:30 - 18:59,19:00 - 19:29,19:30 - 19:59,20:00 - 20:29,20:30 - 20:59,21:00 - 21:29,22:00 - 22:29
101 CCW Observed Runtime-25%,3.27,2.82,3.55,3.96,4.42,3.8,4.26,4.43,4.12,4.89,4.79,5.51,4.88,4.76,6.43,5.12,5.16,4.96,4.63,4.59,5.57,4.67,4.55,4.72,4.26,3,3.84,2.98,3.06,2.73
101 CCW Observed Runtime-50%,3.48,2.87,3.85,4.31,5.02,4.1,5.04,5.11,5.72,5.48,5.28,6.08,5.62,5.02,7.14,5.84,5.42,5.43,4.99,5.09,6.18,5.04,5.21,4.92,4.68,4.85,4.08,3.38,3.47,2.93
101 CCW Observed Runtime-80%,4.15,3.12,4.44,5.04,5.4,5.34,6.04,6.05,7.22,6.27,6.74,7.42,7.28,5.35,7.71,6.75,6.55,6.75,6.95,6.12,7.11,6.3,5.57,5.53,4.98,6.36,5.55,5.42,4.18,3.19
101 CCW Observed Runtime-90%,4.2,4.22,4.45,5.5,6.11,5.43,6.11,7.24,7.22,6.75,7.02,7.61,7.32,6.11,7.71,7.68,6.67,6.83,7.63,6.51,7.11,6.71,6.19,5.8,5.24,6.36,5.65,5.42,4.27,3.56
101 CCW Scheduled Runtime-10%,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5
101 CCW Scheduled Runtime-50%,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5
101 CCW Scheduled Runtime-90%,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5
Title,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2,Bayfield Mall to Downtown Barrie Terminal - 2
Half-Hour,07:00 - 07:29,07:30 - 07:59,08:00 - 08:29,08:30 - 08:59,09:00 - 09:29,09:30 - 09:59,10:00 - 10:29,10:30 - 10:59,11:00 - 11:29,11:30 - 11:59,12:00 - 12:29,12:30 - 12:59,13:00 - 13:29,13:30 - 13:59,14:00 - 14:29,14:30 - 14:59,15:00 - 15:29,15:30 - 15:59,16:00 - 16:29,16:30 - 16:59,17:00 - 17:29,17:30 - 17:59,18:00 - 18:29,18:30 - 18:59,19:00 - 19:29,19:30 - 19:59,20:00 - 20:29,20:30 - 20:59,21:00 - 21:29,22:00 - 22:29
101 CCW Observed Runtime-25%,4.43,5.21,4.81,4.68,4.34,4.59,4.33,5.01,5.56,4.7,4.88,4.79,4.48,5.86,7,5.04,4.99,5.17,5.23,5,4.34,5.02,3.92,4.78,4.87,4.8,4.72,5.25,4.35,5.45
101 CCW Observed Runtime-50%,4.78,6.18,5.22,6.02,6.64,5.41,4.86,6.12,5.69,5.4,5.14,5.72,4.94,6.42,8.14,5.33,5.62,5.58,5.63,5.91,6.17,5.46,4.84,5.29,5.34,5.41,5.32,5.27,4.62,5.65
101 CCW Observed Runtime-80%,5.61,8.01,8.03,7.8,6.85,8.97,5.72,8.8,6.05,6.22,6.05,6.12,5.98,6.8,8.7,5.52,6.34,7.06,8.06,6.55,7,6.63,5.91,6.16,6.32,6.08,6.14,7.07,4.81,5.98
101 CCW Observed Runtime-90%,5.89,8.53,8.09,8.14,7.8,10.04,5.83,9.24,6.05,6.42,6.35,6.63,6.57,7.53,8.7,5.57,8,7.5,9.09,6.81,7.31,7.26,7.18,6.27,6.52,6.08,6.89,7.07,5,6.31
101 CCW Scheduled Runtime-10%,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
101 CCW Scheduled Runtime-50%,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
101 CCW Scheduled Runtime-90%,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
